rank,rank_display,name,city,overall_score,Academic Reputation,Citations per Faculty,Faculty Student Ratio,Employer Reputation,International Student Ratio,International Faculty Ratio
513,511-520,Koç University,Istanbul,n/a,18.5,19.7,39.5,27.5,6.5,17.2
549,541-550,Sabanci University,Istanbul,n/a,15.6,18,39.4,20,16,30.6
557,551-560,Middle East Technical University,Ankara,n/a,25.4,24.1,7.8,42.3,13.1,4.2
592,591-600,Bilkent University,Ankara,n/a,19.7,16.9,17.2,25.5,10.8,46.1
708,701-750,Boğaziçi University,Istanbul,n/a,20.5,20.4,4.6,36.9,3,4.1
715,701-750,Istanbul Technical University,Istanbul,n/a,19.7,11.2,9.1,39,14.3,1.6
804,801-1000,Ankara Üniversitesi,Ankara,n/a,15.4,2.6,13.2,8.3,7,1.3
835,801-1000,Hacettepe University,Ankara,n/a,15.6,6.8,8.1,13.5,2.8,1.3
840,801-1000,Istanbul University,Istanbul,n/a,22.8,6.4,1.9,13.5,10.3,2.6
1008,1001-1200,Anadolu University,Eskişehir,n/a,3.5,3.8,19.6,4,3.4,1.2
1034,1001-1200,EGE UNIVERSITY,İzmir,n/a,6.9,3.2,15.9,7.1,4,1
1040,1001-1200,Gazi Üniversitesi,Ankara,n/a,11.1,3.9,4.7,7.9,2.9,1.3
1046,1001-1200,Istanbul Aydin University,Istanbul,n/a,3.2,1.4,14.4,2.8,55.3,3.4
1047,1001-1200,İstanbul Bilgi University,Istanbul,n/a,3.7,2.1,15,5.5,16.9,2.2
1049,1001-1200,Izmir Institute of Technology (IZTECH),Izmir,n/a,4.8,13.8,6.1,2.4,3.6,1.7
1204,1201+,Akdeniz Üniversitesi,Antalya,n/a,4.4,3.1,4,2.9,1.1,1
1210,1201+,Cukurova University,Adana,n/a,3.6,3.5,3.4,1.7,5.6,1.4
1212,1201+,Dokuz Eylul Universitesi,Izmir,n/a,4.4,3.5,3.2,4.5,1.1,1.3
1223,1201+,Marmara University,Istanbul,n/a,4.1,2.4,7.9,3.6,4.3,1.4
1231,1201+,Sakarya University,Adapazari,n/a,2.6,3.2,2.4,2.5,11.6,1.1
1299,1201+,Yildiz Technical University,Istanbul,n/a,5.6,5.4,6.1,10.5,8.9,1.1
