rank,rank_display,name,city,overall_score,Academic Reputation,Citations per Faculty,Faculty Student Ratio,Employer Reputation,Employment Outcomes,International Student Ratio,International Research Network,International Faculty Ratio
478,=477,Koç University,Istanbul,24.9,20.4,23.4,31.2,36.3,24,10.6,42.6,30.3
505,501-510,Middle East Technical University,Ankara,n/a,26.8,25,8.5,52.7,30.1,14.7,58.5,10.7
536,531-540,Sabanci University,Istanbul,n/a,16.2,18.1,37,27.4,46.9,17,24.3,40.5
566,561-570,Bilkent University,Ankara,n/a,20.2,16.5,16.2,34.1,37.3,8.9,31.7,64.2
611,601-650,Istanbul Technical University,Istanbul,n/a,21.9,10.9,15,49.1,25,18.9,66.7,4.8
704,701-750,Boğaziçi University,Istanbul,n/a,21,14.3,4.4,47.1,70.6,2.9,39,12.3
838,801-1000,Hacettepe University,Ankara,n/a,18,5.4,8.6,18.8,15.2,2.7,72.8,3.1
846,801-1000,Istanbul University,Istanbul,n/a,24.6,5.4,3.1,15.2,29.5,17.6,68.3,9.2
1016,1001-1200,Ankara Üniversitesi,Ankara,n/a,16.6,2.7,10.3,10.8,21,6.1,59.3,2.8
1048,1001-1200,Gazi Üniversitesi,Ankara,n/a,13.7,4.7,5.1,10.1,14.2,1.9,46.5,1.1
1054,1001-1200,Istanbul Aydin University,Istanbul,n/a,3.1,1.4,13.3,2.9,9.8,53,4.3,10.5
1204,1001-1200,Yildiz Technical University,Istanbul,n/a,6.7,5.9,6.7,15,4.2,15.3,39,4.6
1206,1201-1400,Akdeniz Üniversitesi,Antalya,n/a,4.3,2.9,3.8,3.5,3.7,1.1,26.2,1.2
1210,1201-1400,Anadolu University,Eskişehir,n/a,3.2,3.4,15.5,4.7,9.1,3.5,15.6,2
1222,1201-1400,Dokuz Eylul Universitesi,Izmir,n/a,4.4,3.8,2.7,5.6,5.1,3.1,38.1,3.1
1223,1201-1400,EGE UNIVERSITY,İzmir,n/a,6.9,2.8,12.3,9.9,3.6,3.4,60.7,1.2
1228,1201-1400,Gebze Technical University (GTU),Gebze,n/a,2.7,9.3,13.7,1.6,5.6,2.2,24.1,3.8
1239,1201-1400,İstanbul Bilgi University,Istanbul,n/a,3.5,2.1,16,5.3,18.3,24.8,7,7
1240,1201-1400,Izmir Institute of Technology (IZTECH),Izmir,n/a,5.1,10,5.7,2.3,6.1,2.6,13.4,4.4
1249,1201-1400,Marmara University,Istanbul,n/a,5.2,2.2,6.3,5.1,20.8,4,32.6,3.3
1403,1401+,Ataturk University,Erzurum,n/a,3.5,4,3.1,1.9,3.6,4.1,29.6,3
1405,1401+,Cukurova University,Adana,n/a,3.4,2.5,4,2,3.7,5.6,41.1,2.5
1407,1401+,Erciyes University,Kayseri,n/a,2.9,4.9,2.1,2,3.6,6.2,38.1,4.4
1409,1401+,Sakarya University,Adapazari,n/a,2.9,3.1,2.4,3,3.6,11,21,2
