rank,rank_display,name,city,overall_score,Citations per Faculty,Academic Reputation,Faculty Student Ratio,Employer Reputation,Employment Outcomes,International Student Ratio,International Research Network,International Faculty Ratio,International Student Diversity,Sustainability Score
269,=269,Middle East Technical University,Ankara,48.5,34.4,44.8,12.8,88.7,82.2,31,79.2,18,36.9,71.8
298,298,Istanbul Technical University,Istanbul,45.8,35.3,39.6,11.5,85.3,79.7,36.5,76.2,10.4,42.2,68.5
323,323,Koç University,Istanbul,43.1,52.6,36,21,77.5,10.8,22.2,50.4,30.1,27.7,62.4
371,=371,Boğaziçi University,Istanbul,40.3,23.7,36.2,5.1,85.8,88.7,7.5,49,28.2,12.6,68.5
404,=404,Sabanci University,Istanbul,37.2,39.2,26.5,40,62.6,12.8,28,35.5,51.2,30.9,50.1
415,415,Bilkent University,Ankara,36.6,27.7,33.8,14.5,73.3,27,7.6,40.5,61.6,12.1,51.7
573,=571,Hacettepe University,Ankara,29.2,11.8,33,18.5,50.5,30.8,6.1,73.5,3.9,10.9,58.3
630,=628,Istanbul University,Istanbul,27.4,5.1,33.3,4.5,43,78.8,20.6,70.5,7,26.8,37.5
699,=697,Ankara Üniversitesi,Ankara,25.1,4.6,30.6,12.8,30.4,61.2,9.7,74,2.8,15.4,61
743,731-740,Yildiz Technical University,Istanbul,n/a,26,13.4,5.6,43.2,26.7,27.8,55.4,9.5,33.8,63.7
912,901-950,Gazi Üniversitesi,Ankara,n/a,7.6,23.7,9.8,24.4,28.9,7.5,61.2,1.2,13.1,55.6
1034,1001-1200,EGE UNIVERSITY,İzmir,n/a,5.1,14.5,21,24.4,6.6,9.2,71.3,1.4,14.9,33
1038,1001-1200,Gebze Technical University (GTU),Gebze,n/a,40.3,7,9.1,9.5,2.5,10.6,41.4,19.7,15.3,42.2
1065,1001-1200,Marmara University,Istanbul,n/a,4.9,11.8,5.4,23.1,38.1,6.8,52.5,5.5,12.3,42.6
1210,1201-1400,Ataturk University,Erzurum,n/a,9.7,8.1,4.1,2.9,11.3,20.7,49.3,4.7,26.9,34.6
1226,1201-1400,Cukurova University,Adana,n/a,4.9,6.7,8.6,6.1,14.1,6.5,56,2.5,12,42.3
1229,1201-1400,Dokuz Eylul Universitesi,Izmir,n/a,3.5,9.5,5.9,13.8,9.2,19.4,51.6,2.7,25.6,56.8
1231,1201-1400,Erciyes University,Kayseri,n/a,11.5,6.8,3.7,4.5,2.1,14.7,53.1,9.9,20.8,52.3
1248,1201-1400,Istanbul Aydin University,Istanbul,n/a,2.1,8.6,19.1,6.2,2.4,68.6,10.2,13.6,71.7,32.1
1250,1201-1400,Izmir Institute of Technology (IZTECH),Izmir,n/a,18.6,11,8.3,10.8,2.4,5.2,22.7,8.7,9.4,38.7
1276,1201-1400,Ozyegin University,Istanbul,n/a,10.1,6.6,10.2,16.1,2.6,33.5,18.4,14.7,38.7,45.1
1292,1201-1400,Selcuk University,Selcuklu,n/a,7.3,7.5,23.7,3.7,13.6,23.6,53.8,2.4,29.7,45.7
1410,1401+,Akdeniz Üniversitesi,Antalya,n/a,6.1,8.3,5.6,8,2.4,6,47.6,2.2,11.4,22.1
1412,1401+,Anadolu University,Eskişehir,n/a,5.1,6.2,17.5,8.4,22.3,5.3,24.9,2.2,4.2,22.3
1430,1401+,İstanbul Bilgi University,Istanbul,n/a,2.7,5.6,15.2,9.6,24.2,25.4,6.6,4.1,30.9,38.8
1450,1401+,Sakarya University,Adapazari,n/a,6.6,5.9,4.9,7.6,2.3,21.8,26.1,2.6,27.9,49.5
