rank,name,sehir,article,citation,total_document,phd_score,faculty,total
1,HACETTEPE ÜNİVERSİTESİ,Ankara,181.16,200,182.96,180.47,58.33,802.91
2,ORTA DOĞU TEKNİK ÜNİVERSİTESİ,Ankara,193.66,185.57,186.04,173.29,44.19,782.75
3,İSTANBUL TEKNİK ÜNİVERSİTESİ,İstanbul,194.86,183.1,180.08,161.94,43.7,763.68
4,İSTANBUL ÜNİVERSİTESİ,İstanbul,161.56,162.54,167.98,174.94,50.15,717.17
5,KOÇ ÜNİVERSİTESİ,İstanbul,179.11,175.23,170.73,123.53,68.36,716.97
6,ANKARA ÜNİVERSİTESİ,Ankara,155.41,154.42,157.67,190.61,50.33,708.45
7,BOĞAZİÇİ ÜNİVERSİTESİ,İstanbul,172.78,175.62,166.74,123.53,44.59,683.27
8,EGE ÜNİVERSİTESİ,İzmir,151.35,152.7,157.36,155.43,61.36,678.2
9,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,Ankara,176.45,182.51,171.74,101.11,44.22,676.03
10,GEBZE TEKNİK ÜNİVERSİTESİ,Kocaeli,160.93,165.07,158.38,132.49,56.05,672.92
11,GAZİ ÜNİVERSİTESİ,Ankara,148.01,143.48,155.8,163.74,47.43,658.45
12,YILDIZ TEKNİK ÜNİVERSİTESİ,İstanbul,166.32,147.49,151,142.87,42.94,650.63
13,SABANCI ÜNİVERSİTESİ,İstanbul,164.52,167.91,160.26,100,57.01,649.7
14,İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ,İzmir,154.34,157.96,144.59,112.61,54.81,624.32
15,ATATÜRK ÜNİVERSİTESİ,Erzurum,133.03,138.96,135.04,156.5,59.87,623.41
16,BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ,İstanbul,149.99,163.08,162.61,60.36,85.47,621.52
17,ERCİYES ÜNİVERSİTESİ,Kayseri,132.23,157.85,147.15,125.91,46.13,609.28
18,MARMARA ÜNİVERSİTESİ,İstanbul,129.75,132.24,137.8,153.42,42.33,595.53
19,DOKUZ EYLÜL ÜNİVERSİTESİ,İzmir,133.39,139.64,140.19,126.39,50.55,590.16
20,SELÇUK ÜNİVERSİTESİ,Konya,134.01,133.75,140.26,131.15,45.9,585.07
21,ÇUKUROVA ÜNİVERSİTESİ,Adana,137.94,129.14,138.37,131.82,45.83,583.11
22,FIRAT ÜNİVERSİTESİ,Elazığ,142.17,137.56,133.45,111.35,58.17,582.7
23,KARADENİZ TEKNİK ÜNİVERSİTESİ,Trabzon,134.24,140.79,135.37,119.47,48.55,578.42
24,ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ,Eskişehir,133.79,130.88,135.94,111.19,57.66,569.47
25,AKDENİZ ÜNİVERSİTESİ,Antalya,129.69,128.8,136.46,111.89,55.02,561.87
26,ABDULLAH GÜL ÜNİVERSİTESİ,Kayseri,132.27,149.53,120.47,74.07,75.6,551.94
27,BURSA ULUDAĞ ÜNİVERSİTESİ,Bursa,125.09,128.49,130.92,119.84,41.27,545.61
28,ONDOKUZ MAYIS ÜNİVERSİTESİ,Samsun,120.5,124.28,134.05,115.11,46.81,540.75
29,İNÖNÜ ÜNİVERSİTESİ,Malatya,123.64,114.31,127.16,125.73,49.1,539.95
30,ANADOLU ÜNİVERSİTESİ,Eskişehir,122.91,119.85,115.51,132.79,47.1,538.17
31,SÜLEYMAN DEMİREL ÜNİVERSİTESİ,Isparta,114.57,123.29,126.86,123.35,45.87,533.94
32,GAZİANTEP ÜNİVERSİTESİ,Gaziantep,124.25,125.01,131.33,103.67,41.68,525.94
33,İSTANBUL MEDENİYET ÜNİVERSİTESİ,İstanbul,124.21,134.18,120.79,72.97,73.38,525.53
34,SAKARYA ÜNİVERSİTESİ,Sakarya,112.47,121.98,128.35,119.52,42.94,525.26
35,ÇANKAYA ÜNİVERSİTESİ,Ankara,159.15,162.98,127.49,32.51,35.36,517.5
36,KOCAELİ ÜNİVERSİTESİ,Kocaeli,122.74,120.38,128.7,101.51,42.86,516.18
37,VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ,Van,115.36,115.26,116.9,94.52,66.13,508.17
38,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ,İzmir,114.4,117.83,138.96,75.15,58.73,505.08
39,ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,Ankara,105.34,99.96,114.6,116.54,62.89,499.34
40,BAŞKENT ÜNİVERSİTESİ,Ankara,99.46,105.4,136.51,75.91,76.28,493.55
41,ATILIM ÜNİVERSİTESİ,Ankara,149.13,126.07,118.8,58.67,37.87,490.54
42,DİCLE ÜNİVERSİTESİ,Şanlıurfa,91.92,122.9,127.34,94.64,52.46,489.27
43,MANİSA CELÂL BAYAR ÜNİVERSİTESİ,Manisa,103.56,130.54,117.01,84.29,48.86,484.25
44,PAMUKKALE ÜNİVERSİTESİ,Denizli,102.34,122.54,118.23,89.28,50,482.39
45,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,Ankara,112.67,114.67,126.99,71.83,52.98,479.14
46,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,İstanbul,103.98,104.13,111.47,59.37,99,477.95
47,MERSİN ÜNİVERSİTESİ,Mersin,112.65,108.8,110.94,93.83,48.44,474.67
48,YEDİTEPE ÜNİVERSİTESİ,İstanbul,100.19,111.85,113.77,116.81,30.47,473.09
49,ÖZYEĞİN ÜNİVERSİTESİ,İstanbul,123.05,131.47,113.29,62.42,38.65,468.89
50,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,Ankara,93.01,114.41,112.04,90.38,54.05,463.89
51,DÜZCE ÜNİVERSİTESİ,Düzce,105.15,110.23,109.9,81.06,52.14,458.48
52,TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ,Tokat,103.93,116.31,112.19,76.14,49.32,457.89
53,MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ,Muğla,105.28,101.45,111.77,86.15,51.82,456.46
54,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,Bolu,103.47,112.49,112.3,73.38,54.27,455.92
55,SİVAS CUMHURİYET ÜNİVERSİTESİ,Sivas,110.68,111.77,111.78,67.05,48.72,450
56,HİTİT ÜNİVERSİTESİ,Çorum,109.13,104.72,105.94,64.57,63.84,448.2
57,RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ,Rize,98.54,112.51,110.59,58.9,62.68,443.21
58,KIRIKKALE ÜNİVERSİTESİ,Kırıkkale,100.26,100,107.45,87.27,46.4,441.38
59,BURSA TEKNİK ÜNİVERSİTESİ,Bursa,137.62,104.08,87.43,54.16,57.52,440.81
60,NECMETTİN ERBAKAN ÜNİVERSİTESİ,Konya,90.57,94.42,106.68,94.45,52.89,439
61,KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ,Kahramanmaraş,86.51,99.86,100.91,97.4,52.14,436.81
62,TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ,Tekirdağ,102.33,109.49,103.51,60.22,59.43,434.98
63,HATAY MUSTAFA KEMAL ÜNİVERSİTESİ,Hatay,84.97,113.22,112.43,59.86,56.77,427.25
64,NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ,Niğde,97.21,107.89,99.81,72.58,49.57,427.07
65,İSTANBUL MEDİPOL ÜNİVERSİTESİ,İstanbul,96.97,98.19,109.34,73.6,48.34,426.44
66,ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ,Zonguldak,100.4,112.95,110.59,52.31,48.9,425.16
67,BALIKESİR ÜNİVERSİTESİ,Balıkesir,94.06,106.89,105.05,71.94,47.21,425.15
68,AYDIN ADNAN MENDERES ÜNİVERSİTESİ,Aydın,97.61,91.92,103.86,79.95,50.55,423.89
69,HARRAN ÜNİVERSİTESİ,Şanlıurfa,94.42,97.28,104.62,68.81,54.95,420.08
70,MUNZUR ÜNİVERSİTESİ,Tunceli,132.62,106.59,87.94,11.9,80.88,419.93
