rank,name,sehir,article,citation,total_document,phd_score,faculty,international_collaboration,domestic_collaboration,tubitak,total
1,KOÇ ÜNİVERSİTESİ,İSTANBUL,189.43,195.73,188.58,139.8,68.72,117.87,70.47,182.3,1152.91
2,HACETTEPE ÜNİVERSİTESİ,ANKARA,175.6,166.17,174.55,189.11,62.48,100.84,68.84,158.89,1096.48
3,ORTA DOĞU TEKNİK ÜNİVERSİTESİ,ANKARA,182.04,170.52,174.21,184.43,23.29,108.05,60.82,179.44,1082.81
4,İSTANBUL TEKNİK ÜNİVERSİTESİ,İSTANBUL,186.18,167.05,168.28,183.62,45.63,101.52,59.8,154.93,1067.01
5,ANKARA ÜNİVERSİTESİ,ANKARA,163.19,156.05,160.82,191.8,55.68,92.3,63.83,154.78,1038.45
6,GAZİ ÜNİVERSİTESİ,ANKARA,168.56,151.24,159.93,188.14,69.8,83.8,67.04,118.4,1006.92
7,EGE ÜNİVERSİTESİ,İZMİR,162.33,150.34,156.07,162.31,59.85,88.54,60.04,164.38,1003.87
8,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,İSTANBUL,165.6,152.09,160.33,167.67,74.76,86.75,67.51,123.45,998.17
9,İSTANBUL ÜNİVERSİTESİ,İSTANBUL,150.97,149.37,162.55,197.79,50.81,91.45,63.78,128.26,994.98
10,SABANCI ÜNİVERSİTESİ,İSTANBUL,166.09,182.53,165.67,107.36,52.36,105.06,46.04,166.92,992.03
11,YILDIZ TEKNİK ÜNİVERSİTESİ,İSTANBUL,176.2,155.53,155.09,164.46,31.45,83.58,60.21,135.73,962.25
12,GEBZE TEKNİK ÜNİVERSİTESİ,KOCAELİ,169.45,154.27,144.38,121.19,47.49,87.1,55.75,153.6,933.23
13,ATATÜRK ÜNİVERSİTESİ,ERZURUM,155.51,152.43,146.87,156.05,53.29,82.49,58.58,127.73,932.94
14,ERCİYES ÜNİVERSİTESİ,KAYSERİ,155.13,153.55,150.87,149.73,43.77,82.98,61.14,134.55,931.72
15,MARMARA ÜNİVERSİTESİ,İSTANBUL,140.64,144.42,147.53,173.93,53.94,83.99,57.36,127.41,929.21
16,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,ANKARA,168.85,161.82,153.62,91.65,31.38,105.17,43.6,147.66,903.76
17,FIRAT ÜNİVERSİTESİ,ELAZIĞ,145.72,149.76,139.8,120.87,58.6,84.25,53.68,132.98,885.66
18,BOĞAZİÇİ ÜNİVERSİTESİ,İSTANBUL,144.65,151.6,152.61,122.43,42.38,95.98,41.14,130.4,881.2
19,DOKUZ EYLÜL ÜNİVERSİTESİ,İZMİR,139.34,137.74,143.16,143.51,52.39,77.71,57.14,118.22,869.21
20,KARADENİZ TEKNİK ÜNİVERSİTESİ,TRABZON,143.63,137.43,136.17,127.81,64.95,71.86,54.92,130.21,866.97
21,AKDENİZ ÜNİVERSİTESİ,ANTALYA,143.3,141.29,141.97,131.59,45.24,75.54,54.48,129.08,862.5
22,İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ,İZMİR,144.42,129.84,138.14,106.28,43.32,81.25,44.24,174.89,862.37
23,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,İSTANBUL,143.12,131.61,143.82,88.43,93.31,83.52,63.77,105.39,852.95
24,ÇUKUROVA ÜNİVERSİTESİ,ADANA,142.51,137.96,144.53,135.39,46.35,79.33,54.87,110.54,851.47
25,BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ,İSTANBUL,151.7,131.81,155.69,76.47,90.73,75.81,66.69,92.24,841.14
26,SELÇUK ÜNİVERSİTESİ,KONYA,142.03,139.83,137.12,132.84,51.3,78.52,53.96,104.91,840.5
27,SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,İSTANBUL,150.52,130.29,153.84,122.92,100,61.84,65.54,52.98,837.93
28,SAKARYA ÜNİVERSİTESİ,SAKARYA,154.22,142.11,136.63,130.8,36.84,77.28,52.73,105.86,836.46
29,ONDOKUZ MAYIS ÜNİVERSİTESİ,SAMSUN,136.61,134.67,135.65,128.18,45.11,75.63,53.09,120.84,829.78
30,BURSA ULUDAĞ ÜNİVERSİTESİ,BURSA,138.11,131.46,132.94,146.29,46.78,72.46,50.37,110.38,828.79
31,İSTİNYE ÜNİVERSİTESİ,İSTANBUL,184.98,142.03,145.71,62.91,47.68,104.91,50.97,85.2,824.4
32,ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ,ESKİŞEHİR,133.8,129.46,133.09,117.85,61.11,69.02,53.95,110.58,808.86
33,KOCAELİ ÜNİVERSİTESİ,KOCAELİ,135.85,131.78,132.42,122.72,43.82,72.13,51.49,96.94,787.14
34,NECMETTİN ERBAKAN ÜNİVERSİTESİ,KONYA,131.16,130.26,132.04,122.02,47.56,64.94,52.74,95.19,775.91
35,İNÖNÜ ÜNİVERSİTESİ,MALATYA,127.38,126.01,130.94,127.82,49.37,64.91,54.93,92.94,774.31
36,ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,ANKARA,124.79,123.32,129.93,128.48,56.06,64.65,58.47,84.29,769.99
37,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ,İZMİR,126.73,124.99,134.96,92.72,55.94,67.07,60.5,100.58,763.47
38,İSTANBUL MEDENİYET ÜNİVERSİTESİ,İSTANBUL,118.25,135.05,132.69,100.15,57.72,72.39,54.41,91.07,761.73
39,RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ,RİZE,143.9,131.56,123.35,75.47,70.27,66.02,49.32,95.66,755.54
40,KADİR HAS ÜNİVERSİTESİ,İSTANBUL,127.85,118.77,113.69,80.5,37.17,78.92,33.23,158.89,748.99
41,İSTANBUL MEDİPOL ÜNİVERSİTESİ,İSTANBUL,132.07,124.07,128.53,96.87,31.2,76.43,52.5,106.28,747.95
42,SÜLEYMAN DEMİREL ÜNİVERSİTESİ,ISPARTA,108.88,130.59,120.58,120.45,48.61,64.58,47.37,98.73,739.79
43,MERSİN ÜNİVERSİTESİ,MERSİN,126.44,122.51,126.3,104.96,43.73,67.03,49.86,95.21,736.04
44,ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,ESKİŞEHİR,112.72,119.57,115.67,115.18,57.43,63.48,44.21,106.55,734.81
45,HARRAN ÜNİVERSİTESİ,ŞANLIURFA,126.03,127.29,119.88,94.87,56.42,65.51,47.07,95.41,732.49
46,KONYA TEKNİK ÜNİVERSİTESİ,KONYA,121.02,122.2,119.52,110.37,66.32,53.92,44.08,93.67,731.1
47,VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ,VAN,122.12,121.86,122.74,109.24,72,65.53,48.19,66.8,728.49
48,BAHÇEŞEHİR ÜNİVERSİTESİ,İSTANBUL,131.82,133.04,130.1,86.81,21.83,81.45,48.66,88.32,722.03
49,GAZİANTEP ÜNİVERSİTESİ,GAZİANTEP,120.94,122.59,127.41,104.75,39.96,63.75,50,91.13,720.53
50,YEDİTEPE ÜNİVERSİTESİ,İSTANBUL,116.14,114.91,120.49,120.22,33.2,69.8,44.74,101,720.51
51,DÜZCE ÜNİVERSİTESİ,DÜZCE,120.63,130.4,122.32,90.26,50.17,67.53,47.09,83.05,711.46
52,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,ÇANAKKALE,111.36,110.86,112.4,101.38,57.61,57.56,42.33,117.83,711.34
53,BAŞKENT ÜNİVERSİTESİ,ANKARA,117.96,109.89,131.13,103.67,77.25,65.35,51.76,52.49,709.49
54,SİVAS CUMHURİYET ÜNİVERSİTESİ,SİVAS,131.22,130.22,123.69,88.25,49.79,71.58,44.86,68.75,708.36
55,MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ,MUĞLA,108.51,106.31,112.56,101.36,47.67,64.34,43.86,116.4,700.99
56,ABDULLAH GÜL ÜNİVERSİTESİ,KAYSERİ,125.1,139.79,119.15,61.85,26.4,77.07,40.58,108.51,698.46
57,KARABÜK ÜNİVERSİTESİ,KARABÜK,117.43,128.73,115.75,118.6,37.48,65.5,44.01,67.78,695.29
58,ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,ISPARTA,107.91,96.67,102.31,95.63,89.95,40.88,40.11,118.67,692.14
59,BİNGÖL ÜNİVERSİTESİ,BİNGÖL,113.12,124.84,115.94,81.52,60.22,58.74,44.25,91.68,690.31
60,BARTIN ÜNİVERSİTESİ,BARTIN,132.89,132.56,116.59,43.15,53.79,67.59,45.1,98.35,690.02
61,NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ,NİĞDE,113.01,117.03,110.24,95.26,53.28,61.4,42.5,93.52,686.24
62,BİRUNİ ÜNİVERSİTESİ,İSTANBUL,157.92,132,126.7,54.47,35.77,87.67,49.07,42.43,686.04
63,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,BOLU,97.72,116.59,107.35,96.58,53.49,60.51,41.69,108.63,682.56
64,MANİSA CELÂL BAYAR ÜNİVERSİTESİ,MANİSA,108.66,120.04,118.79,88.4,48.82,64.75,46.26,85.48,681.21
65,ÖZYEĞİN ÜNİVERSİTESİ,İSTANBUL,107.86,114.99,121.36,69.59,35.86,75.02,30.84,119.42,674.94
66,KASTAMONU ÜNİVERSİTESİ,KASTAMONU,110.84,118.98,105.82,90.85,58.29,62.15,40.77,86.38,674.08
67,ERZURUM TEKNİK ÜNİVERSİTESİ,ERZURUM,127.32,110.42,100.96,70.24,64.78,56.83,40.82,100.66,672.03
68,AYDIN ADNAN MENDERES ÜNİVERSİTESİ,AYDIN,97.77,96.32,104.71,107.71,58.12,56.09,40.58,110.47,671.78
69,TARSUS ÜNİVERSİTESİ,MERSİN,149.72,107.9,106.68,54.92,58.26,66.56,41.6,83.8,669.45
70,PAMUKKALE ÜNİVERSİTESİ,DENİZLİ,103.66,107.28,120.19,98.47,58.05,47.94,46.55,87.08,669.23
71,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,ANKARA,98.62,114.55,123.65,54.24,55.14,68.99,38.8,106.21,660.2
72,ANADOLU ÜNİVERSİTESİ,ESKİŞEHİR,83.04,119.29,94.54,138.29,48.37,58.41,35.54,79.25,656.74
73,BURSA TEKNİK ÜNİVERSİTESİ,BURSA,114.51,113.43,105.2,76.68,33.52,54.89,41.69,107.59,647.49
74,ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,ADANA,122.11,111.83,104.43,66.65,52.36,57.16,38.39,94.02,646.96
75,KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ,KAHRAMANMARAŞ,98.94,104.3,106.73,93.99,61.99,43.51,45.26,91.57,646.28
76,ÇANKAYA ÜNİVERSİTESİ,ANKARA,97.12,177.62,152.83,35.92,24.04,103.27,35.81,12.71,639.31
77,SİİRT ÜNİVERSİTESİ,SİİRT,132.35,128.18,111.64,43.35,61.48,74.03,39.17,41.5,631.7
78,KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ,KARAMAN,100.9,119.37,111.93,55.61,72.91,54.26,41.46,72.42,628.87
79,ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ,ZONGULDAK,115.33,116.51,110.9,66.89,53.23,51.31,43.05,70.92,628.13
80,TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ,TEKİRDAĞ,102.51,106.69,113.41,63.16,51.02,46.11,46.66,96.93,626.48
81,ATILIM ÜNİVERSİTESİ,ANKARA,104.62,117.54,109.43,64.75,42.58,68.2,42,75.89,625.01
82,AKSARAY ÜNİVERSİTESİ,AKSARAY,107.5,110.95,109.38,59.44,58.24,51.27,43.33,84.66,624.78
83,BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ,BİLECİK,111.17,109.68,102.87,57.45,60.45,44.31,42.74,95.92,624.59
84,HATAY MUSTAFA KEMAL ÜNİVERSİTESİ,HATAY,99.71,99.97,106.86,71.33,71.45,45.05,44.62,82.04,621.04
85,HİTİT ÜNİVERSİTESİ,ÇORUM,104.77,109.49,113.67,71.64,61.74,49.6,48.14,61.83,620.88
86,ÇANKIRI KARATEKİN ÜNİVERSİTESİ,ÇANKIRI,107.79,102.56,100.89,89.41,50.62,50.44,41.61,76.55,619.86
87,HASAN KALYONCU ÜNİVERSİTESİ,GAZİANTEP,104.21,113.39,101.88,92.31,27.41,61.65,41.42,75.88,618.15
88,YOZGAT BOZOK ÜNİVERSİTESİ,YOZGAT,100.51,118.32,114.73,31.84,57.74,59.61,44.63,84.42,611.8
89,KIRIKKALE ÜNİVERSİTESİ,KIRIKKALE,93.95,106.97,106.42,86.5,48.06,48.1,45.06,73.68,608.75
90,ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ,ERZİNCAN,107.22,109.36,114.46,74.31,68.91,40.5,46.31,41.62,602.7
91,TRAKYA ÜNİVERSİTESİ,EDİRNE,87.7,103.45,108.26,97.77,49.27,49.45,41.08,64.9,601.88
92,TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ,TOKAT,102.6,109.7,103.75,71.77,58.42,52.49,40.28,56.8,595.8
93,İSKENDERUN TEKNİK ÜNİVERSİTESİ,HATAY,100.44,130.72,102.84,53.86,40.55,58.62,38.79,68.86,594.68
94,DİCLE ÜNİVERSİTESİ,DİYARBAKIR,109.37,99.92,108.98,104.46,45.41,46.28,47.51,32.66,594.6
95,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,BURDUR,94.91,101.54,93.19,79.56,48.82,47,37.91,90.59,593.54
96,İZMİR EKONOMİ ÜNİVERSİTESİ,İZMİR,106.1,106.47,107.62,36.18,45.87,62.12,41.42,87.18,592.96
97,AFYON KOCATEPE ÜNİVERSİTESİ,AFYONKARAHİSAR,87.39,102.62,95.35,92.44,47.22,50.96,34.29,82.59,592.85
98,UŞAK ÜNİVERSİTESİ,UŞAK,98.07,105.94,109.63,56.63,42.14,57.45,43.85,76.1,589.8
99,ORDU ÜNİVERSİTESİ,ORDU,96.4,106.22,102.75,74.16,67.59,46.93,42.97,45.92,582.94
100,IĞDIR ÜNİVERSİTESİ,IĞDIR,98.74,109.83,98.54,53.04,55.48,54.73,39.84,67.34,577.55
101,SAKARYA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,SAKARYA,106.79,104.2,92.41,80.4,44.01,48.54,39.05,50.28,565.68
102,YAŞAR ÜNİVERSİTESİ,İZMİR,86.55,120.47,101.69,55.72,31.45,65.71,29.09,70.5,561.18
103,OSMANİYE KORKUT ATA ÜNİVERSİTESİ,OSMANİYE,102.41,128.24,101.13,37.12,44.96,60.04,37.5,46.79,558.18
104,ALTINBAŞ ÜNİVERSİTESİ,İSTANBUL,95.51,99.13,100.24,87.37,35.9,58.52,38.37,41.63,556.66
105,BALIKESİR ÜNİVERSİTESİ,BALIKESİR,92.47,85.38,95.54,71.51,64.55,41.69,40.27,58.7,550.12
106,ADIYAMAN ÜNİVERSİTESİ,ADIYAMAN,89.18,112.62,115.85,25.7,70.39,51.09,45.57,36.07,546.48
107,MUNZUR ÜNİVERSİTESİ,TUNCELİ,101.86,112.89,97.78,7.75,62.32,55.09,38.58,69.33,545.61
108,İSTANBUL TİCARET ÜNİVERSİTESİ,İSTANBUL,98.27,109.84,96.77,124.78,5.32,65.62,32.92,11.16,544.68
109,MALATYA TURGUT ÖZAL ÜNİVERSİTESİ,MALATYA,100.6,101.23,96.44,10.4,78.34,39.34,43.75,72.54,542.65
110,KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ,KIRŞEHİR,87.31,101.74,99.24,56.39,64.39,41.3,44.05,47.21,541.62
111,BATMAN ÜNİVERSİTESİ,BATMAN,109.79,104.84,88.94,56.31,61.47,50.23,32.82,25.63,530.02
112,İSTANBUL OKAN ÜNİVERSİTESİ,İSTANBUL,100.89,73.64,76.94,97.72,56.42,58.77,27.79,35.72,527.88
113,KAFKAS ÜNİVERSİTESİ,KARS,84.74,86.83,100.46,65.33,73.36,35.43,37.24,43.66,527.04
114,BAYBURT ÜNİVERSİTESİ,BAYBURT,91.08,105.21,84.17,39.9,57.3,41.68,37.38,69.17,525.89
115,BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ,BALIKESİR,100.98,94.53,85.68,53.87,48.25,52.5,35.09,53.78,524.68
116,GİRESUN ÜNİVERSİTESİ,GİRESUN,89.89,100.93,100.2,51.31,75.06,35.93,38.88,28.58,520.78
117,SAMSUN ÜNİVERSİTESİ,SAMSUN,100.67,103.47,81.56,19.13,62.55,43,36.85,69,516.24
